Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Planar_ID	Overlap_Verbal	Overlap_Verbal_Extended	Overlap_Nominal	Test_Labels	Analysis_Type	PW_Pattern	Notes	Tests_Total
423	Yukuna	yucu1253	yucu1253_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	8	10	1	0.04	3	0.14	21	21	yucu1253_verbal	10	NA	NA	Free Ocurr. Max.	constituency	indeterminate	NA	24
424	Yukuna	yucu1253	yucu1253_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	9	10	3	0.12	2	0.1	21	21	yucu1253_verbal	10	NA	NA	Free Ocurr. Min.	constituency	indeterminate	NA	24
425	Yukuna	yucu1253	yucu1253_v_noninterruption	morphosyntactic	noninterruption	NA	NA	NA	9	20	1	0.04	12	0.57	21	21	yucu1253_verbal	10	NA	NA	Non-interrupt.	constituency	morphosyntactic	NA	24
426	Yukuna	yucu1253	yucu1253_v_nonpermutability	morphosyntactic	nonpermutability	NA	NA	NA	10	19	3	0.12	10	0.48	21	21	yucu1253_verbal	10	NA	NA	Non-permut.	constituency	morphosyntactic	NA	24
427	Yukuna	yucu1253	yucu1253_v_recursion.based_complementation_maximal	morphosyntactic	recursion.based	complementation	maximal	NA	8	21	2	0.08	14	0.67	21	21	yucu1253_verbal	10	NA	NA	Subspan Rep. Compl.	constituency	morphosyntactic	NA	24
428	Yukuna	yucu1253	yucu1253_v_recursion.based_maximal_adverbial.clause	morphosyntactic	recursion.based	NA	maximal	adverbial.clause	8	21	2	0.08	14	0.67	21	21	yucu1253_verbal	10	NA	NA	Subspan Rep. Adv.	constituency	morphosyntactic	NA	24
429	Yukuna	yucu1253	yucu1253_v_recursion.based_same.subject_maximal	morphosyntactic	recursion.based	same.subject	maximal	NA	10	21	1	0.04	12	0.57	21	21	yucu1253_verbal	10	NA	NA	Subspan Rep. SS	constituency	morphosyntactic	NA	24
430	Yukuna	yucu1253	yucu1253_v_segmental_vowel.assimilation_maximal_vowel.coalescence.ai>e	phonological	segmental	vowel.assimilation	maximal	vowel.coalescence.ai>e	9	17	1	0.04	9	0.43	21	21	yucu1253_verbal	10	NA	NA	V-Coalesc. Max.	constituency	assimilation	NA	24
431	Yukuna	yucu1253	yucu1253_v_segmental_vowel.assimilation_vowel.assimilation	phonological	segmental	vowel.assimilation	NA	vowel.assimilation	9	10	3	0.12	2	0.1	21	21	yucu1253_verbal	10	NA	NA	V-Assim.	constituency	assimilation	NA	24
432	Yukuna	yucu1253	yucu1253_v_segmental_vowel.coalescence_minimal_vowel.coalescence.ua>o	phonological	segmental	vowel.coalescence	minimal	vowel.coalescence.ua>o	9	10	3	0.12	2	0.1	21	21	yucu1253_verbal	10	NA	NA	V-Coalesc. Min.	constituency	assimilation	NA	24
433	Yukuna	yucu1253	yucu1253_v_segmental_vowel.deletion_vowel.elision	phonological	segmental	vowel.deletion	NA	vowel.elision	10	16	4	0.17	7	0.33	21	21	yucu1253_verbal	10	NA	NA	V-Elision	constituency	deletion	NA	24
434	Yukuna	yucu1253	yucu1253_v_segmental_vowel.insertion_vowel.insertion	phonological	segmental	vowel.insertion	NA	vowel.insertion	10	16	4	0.17	7	0.33	21	21	yucu1253_verbal	10	NA	NA	V-Insert.	constituency	insertion	NA	24
435	Yukuna	yucu1253	yucu1253_v_suprasegmental_tone.sandhi_maximal_dissimilation	phonological	suprasegmental	tone.sandhi	maximal	dissimilation	1	21	1	0.04	21	1	21	21	yucu1253_verbal	10	NA	NA	Tone Diss. Max.	constituency	tone	NA	24
436	Yukuna	yucu1253	yucu1253_v_suprasegmental_tone.sandhi_minimal_dissimilation	phonological	suprasegmental	tone.sandhi	minimal	dissimilation	10	19	3	0.12	10	0.48	21	21	yucu1253_verbal	10	NA	NA	Tone Diss. Max.	constituency	tone	NA	24
437	Yukuna	yucu1253	yucu1253_v_suprasegmental_tone.spreading_maximal_floating.tone	phonological	suprasegmental	tone.spreading	maximal	floating.tone	9	16	1	0.04	8	0.38	21	21	yucu1253_verbal	10	NA	NA	Float. Tone Max.	constituency	tone	NA	24
438	Yukuna	yucu1253	yucu1253_v_suprasegmental_tone.spreading_minimal_floating.tone	phonological	suprasegmental	tone.spreading	minimal	floating.tone	10	16	4	0.17	7	0.33	21	21	yucu1253_verbal	10	NA	NA	Float. Tone Min.	constituency	tone	NA	24
439	Yukuna	yucu1253	yucu1253_v_suprasegmental_tone.spreading_spreading	phonological	suprasegmental	tone.spreading	NA	spreading	10	18	1	0.04	9	0.43	21	21	yucu1253_verbal	10	NA	NA	Tone Spread.	constituency	tone	NA	24
440	Zenzontepec Chatino	zenz1235	zenz1235_v_deviations_allomorphy_tam	indeterminate	deviations	allomorphy	NA	tam	10	13	8	0.29	4	0.19	21	21	zenz1235_verbal	13	NA	NA	Dev. Biunique. TAM	constituency	indeterminate	NA	28
441	Zenzontepec Chatino	zenz1235	zenz1235_v_deviations_suppletion_2sg	indeterminate	deviations	suppletion	NA	2sg	10	13	8	0.29	4	0.19	21	21	zenz1235_verbal	13	NA	NA	Dev. Biunique. 2SG	constituency	indeterminate	NA	28
442	Zenzontepec Chatino	zenz1235	zenz1235_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	7	17	2	0.07	11	0.52	21	21	zenz1235_verbal	13	NA	NA	Free Ocurr. Max. (sa-	constituency	indeterminate	NA	28
443	Zenzontepec Chatino	zenz1235	zenz1235_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	10	13	8	0.29	4	0.19	21	21	zenz1235_verbal	13	NA	NA	Free Ocurr. Min.	constituency	indeterminate	NA	28
444	Zenzontepec Chatino	zenz1235	zenz1235_v_noninterruption	morphosyntactic	noninterruption	NA	NA	NA	7	14	2	0.07	8	0.38	21	21	zenz1235_verbal	13	NA	NA	Non-interrupt.	constituency	morphosyntactic	NA	28
445	Zenzontepec Chatino	zenz1235	zenz1235_v_nonpermutability_rigid	morphosyntactic	nonpermutability	rigid	NA	NA	7	14	2	0.07	8	0.38	21	21	zenz1235_verbal	13	NA	NA	Non-permut. Rigid	constituency	morphosyntactic	NA	28
446	Zenzontepec Chatino	zenz1235	zenz1235_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	7	17	2	0.07	11	0.52	21	21	zenz1235_verbal	13	NA	NA	Non-permut. Scope	constituency	morphosyntactic	NA	28
447	Zenzontepec Chatino	zenz1235	zenz1235_v_play.language_play.language	indeterminate	play.language	play.language	NA	NA	10	13	8	0.29	4	0.19	21	21	zenz1235_verbal	13	NA	NA	Play Lang.	constituency	indeterminate	NA	28
448	Zenzontepec Chatino	zenz1235	zenz1235_v_recursion.based_maximal_coordination	morphosyntactic	recursion.based	NA	maximal	coordination	2	20	1	0.04	19	0.9	21	21	zenz1235_verbal	13	NA	NA	Rep. Subspan Max.	constituency	morphosyntactic	NA	28
449	Zenzontepec Chatino	zenz1235	zenz1235_v_recursion.based_minimal_coordination	indeterminate	recursion.based	NA	minimal	coordination	5	16	1	0.04	12	0.57	21	21	zenz1235_verbal	13	NA	NA	Rep. Subspan Min.	constituency	morphosyntactic	NA	28
450	Zenzontepec Chatino	zenz1235	zenz1235_v_segmental_consonant.assimilation_maximal_palatalization	phonological	segmental	consonant.assimilation	maximal	palatalization	7	13	5	0.18	7	0.33	21	21	zenz1235_verbal	13	NA	NA	Palatal. Max.	constituency	assimilation	NA	28
451	Zenzontepec Chatino	zenz1235	zenz1235_v_segmental_consonant.assimilation_minimal_palatalization	phonological	segmental	consonant.assimilation	minimal	palatalization	10	13	8	0.29	4	0.19	21	21	zenz1235_verbal	13	NA	NA	Palatal. Min.	constituency	assimilation	NA	28
452	Zenzontepec Chatino	zenz1235	zenz1235_v_segmental_vowel.coalescence_vowel.fusion	phonological	segmental	vowel.coalescence	NA	vowel.fusion	13	17	2	0.07	5	0.24	21	21	zenz1235_verbal	13	NA	NA	Vowel Fusion	constituency	assimilation	NA	28
453	Zenzontepec Chatino	zenz1235	zenz1235_v_segmental_vowel.deletion_maximal_vowel.elision	phonological	segmental	vowel.deletion	maximal	vowel.elision	3	16	1	0.04	14	0.67	21	21	zenz1235_verbal	13	NA	NA	Vowel Elision Max.	constituency	deletion	NA	28
454	Zenzontepec Chatino	zenz1235	zenz1235_v_segmental_vowel.deletion_minimal_vowel.elision	phonological	segmental	vowel.deletion	minimal	vowel.elision	7	13	5	0.18	7	0.33	21	21	zenz1235_verbal	13	NA	NA	Vowel Elision Min.	constituency	deletion	NA	28
455	Zenzontepec Chatino	zenz1235	zenz1235_v_suprasegmental_declination/downstep_declination.and.pitch.reset	phonological	suprasegmental	declination/downstep	NA	declination.and.pitch.reset	1	21	3	0.11	21	1	21	21	zenz1235_verbal	13	NA	NA	Declination/Reset	constituency	other process	NA	28
456	Zenzontepec Chatino	zenz1235	zenz1235_v_suprasegmental_declination/downstep_downstep	phonological	suprasegmental	declination/downstep	NA	downstep	1	21	3	0.11	21	1	21	21	zenz1235_verbal	13	NA	NA	Downstep	constituency	dissimilation	NA	28
457	Zenzontepec Chatino	zenz1235	zenz1235_v_suprasegmental_feature.culminativity_h.tone.constraint	phonological	suprasegmental	feature.culminativity	NA	h.tone.constraint	10	13	8	0.29	4	0.19	21	21	zenz1235_verbal	13	NA	NA	Culm. H-Tone	constituency	constraint	NA	28
458	Zenzontepec Chatino	zenz1235	zenz1235_v_suprasegmental_feature.culminativity_maximal_glottal.stop	phonological	suprasegmental	feature.culminativity	maximal	glottal.stop	7	13	5	0.18	7	0.33	21	21	zenz1235_verbal	13	NA	NA	Culm. Glottal Stop Max.	constituency	constraint	NA	28
459	Zenzontepec Chatino	zenz1235	zenz1235_v_suprasegmental_feature.culminativity_maximal_vowel.length	phonological	suprasegmental	feature.culminativity	maximal	vowel.length	4	13	2	0.07	10	0.48	21	21	zenz1235_verbal	13	NA	NA	Culm. V-Length Max.	constituency	constraint	NA	28
460	Zenzontepec Chatino	zenz1235	zenz1235_v_suprasegmental_feature.culminativity_maximal_vowel.nasality	phonological	suprasegmental	feature.culminativity	maximal	vowel.nasality	4	13	2	0.07	10	0.48	21	21	zenz1235_verbal	13	NA	NA	Culm. V-Nasal. Max.	constituency	constraint	NA	28
461	Zenzontepec Chatino	zenz1235	zenz1235_v_suprasegmental_feature.culminativity_minimal_glottal.stop	phonological	suprasegmental	feature.culminativity	minimal	glottal.stop	10	13	8	0.29	4	0.19	21	21	zenz1235_verbal	13	NA	NA	Culm. Glottal Stop Min.	constituency	constraint	NA	28
462	Zenzontepec Chatino	zenz1235	zenz1235_v_suprasegmental_feature.culminativity_minimal_vowel.length	phonological	suprasegmental	feature.culminativity	minimal	vowel.length	7	13	5	0.18	7	0.33	21	21	zenz1235_verbal	13	NA	NA	Culm. V-Length Min.	constituency	constraint	NA	28
463	Zenzontepec Chatino	zenz1235	zenz1235_v_suprasegmental_feature.culminativity_minimal_vowel.nasality	phonological	suprasegmental	feature.culminativity	minimal	vowel.nasality	7	13	5	0.18	7	0.33	21	21	zenz1235_verbal	13	NA	NA	Culm. V-Nasal. Min.	constituency	constraint	NA	28
464	Zenzontepec Chatino	zenz1235	zenz1235_v_suprasegmental_nasalization_nasality.spreading	phonological	suprasegmental	nasalization	NA	nasality.spreading	13	17	2	0.07	5	0.24	21	21	zenz1235_verbal	13	NA	NA	Nasal. Spread.	constituency	assimilation	NA	28
465	Zenzontepec Chatino	zenz1235	zenz1235_v_suprasegmental_tone.sandhi_mid.tone.replacement	phonological	suprasegmental	tone.sandhi	NA	mid.tone.replacement	10	17	1	0.04	8	0.38	21	21	zenz1235_verbal	13	NA	NA	M-Tone Replace.	constituency	tone	NA	28
466	Zenzontepec Chatino	zenz1235	zenz1235_v_suprasegmental_tone.spreading_h.tone.spreading	phonological	suprasegmental	tone.spreading	NA	h.tone.spreading	1	21	3	0.11	21	1	21	21	zenz1235_verbal	13	NA	NA	H-Tone Spread.	constituency	tone	NA	28
467	Zenzontepec Chatino	zenz1235	zenz1235_v_suprasegmental_tone.template_paradigmatic.lexical.tone.melodies	phonological	suprasegmental	tone.template	NA	paradigmatic.lexical.tone.melodies	10	13	8	0.29	4	0.19	21	21	zenz1235_verbal	13	NA	NA	Paradigm. Tone	constituency	allomorphy	NA	28
